NAME	SCORE	TMHMM	TMBB	PROSITE	CDD
NP_414548.1 putative transporter YaaJ	100%	9:Yes	Yes		AlsT:0.0:['transport', 'symporter']:[]
NP_414560.1 Na(+):H(+) antiporter NhaA	100%	9:Yes	Yes		nhaA:0.0:['antiporter']:[]
NP_414587.1 putative transporter YaaU	100%	11:Yes	Yes	PS50850:47.427:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_SV2_like:6.92532e-60:['transport', 'facilitator']:[]
NP_414670.1 putative ABC transporter membrane subunit YadH	100%	6:Yes	No	PS51012:41.904:['transport', 'import', 'export']:[]	PRK15066:3.30715e-170:['transport', 'permease']:[]
NP_414695.1 iron(III) hydroxamate ABC transporter membrane subunit	100%	14:Yes	Yes		PRK10577:0.0:['permease']:[]
NP_414740.1 L-methionine/D-methionine ABC transporter membrane subunit	100%	4:Yes	Yes	PS50928:26.717:['transport', 'channel', 'import', 'export']:[]	PRK10782:2.03368e-135:['permease']:[]
NP_414744.1 putative LysR family transcriptional regulator YafC	100%	0:No	Yes	PS50931:24.669:['antiporter']:[]	PBP2_CrgA:3.66674e-127:['transport']:[]; PRK11242 superfamily:6.86224e-22:[]:[]
NP_414870.1 cytosine transporter	100%	12:Yes	Yes		codB:0.0:['permease']:[]
NP_414901.1 taurine ABC transporter membrane subunit	100%	6:Yes	Yes	PS50928:22.058:['transport', 'channel', 'import', 'export']:[]	PRK10160:5.76002e-165:['permease']:[]
NP_414930.3 putative transport protein AraJ	100%	12:Yes	Yes	PS50850:26.244:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK10091:0.0:['transport']:[]
NP_414961.4 putative major facilitator superfamily transport protein YajR	100%	11:Yes	Yes	PS50850:20.416:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_YajR_like:7.07801e-167:['transport', 'facilitator']:[]
NP_414982.1 ABC transporter family protein MdlA	100%	6:Yes	No	PS50929:52.65:['transport', 'channel', 'import', 'export']:[]; PS50893:22.723:['transport', 'channel', 'import', 'export']:[]	PRK10789:0.0:['permease']:[]
NP_414983.1 ABC transporter family protein MdlB	100%	4:Yes	Yes	PS50929:50.701:['transport', 'channel', 'import', 'export']:[]; PS50893:22.876:['transport', 'channel', 'import', 'export']:[]	PRK10790:0.0:['permease']:[]
NP_414995.1 multidrug efflux pump RND permease AcrB	100%	11:Yes	Yes		PRK15127:0.0:['permease']:[]
NP_415012.1 fosmidomycin efflux pump	100%	10:Yes	Yes	PS50850:21.799:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_FsR:5.20276e-109:['transport', 'facilitator']:[]
NP_415029.1 putative ABC transporter membrane subunit YbbP	100%	10:Yes	Yes	PS51257:5.0:['transport']:[]	YbbP:0.0:['transport', 'permease']:[]
NP_415044.4 putative allantoin transporter	100%	12:Yes	Yes		PRK11375:0.0:['permease']:[]
NP_415121.1 ferric enterobactin ABC transporter membrane subunit FepG	100%	8:Yes	Yes	PS51257:6.0:['transport']:[]	PRK10440:0.0:['permease']:[]
NP_415122.1 ferric enterobactin ABC transporter membrane subunit FebD	100%	9:Yes	Yes		PRK10441:4.64007e-174:['permease']:[]
NP_415124.1 ferric enterobactin ABC transporter periplasmic binding protein	100%	0:No	Yes	PS50983:28.087:['transport']:[]	FepB:0.0:['transport']:[]
NP_415145.1 citrate:succinate antiporter	100%	10:Yes	Yes		Na_sulph_symp:0.0:['symporter']:[]
NP_415186.1 glutamate/aspartate ABC transporter membrane subunit GltK	100%	4:Yes	Yes	PS50928:21.47:['transport', 'channel', 'import', 'export']:[]	PRK15107:9.15851e-139:['permease']:[]
NP_415187.1 glutamate/aspartate ABC transporter membrane subunit GltJ	100%	4:Yes	Yes	PS50928:18.248:['transport', 'channel', 'import', 'export']:[]	HisM:2.97426e-67:['transport', 'permease']:[]
NP_415237.1 dipeptide:H(+) symporter DtpD	100%	11:Yes	Yes	PS50850:10.293:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	PRK15462:0.0:['permease']:[]
NP_415285.1 molybdate ABC transporter membrane subunit	100%	5:Yes	Yes	PS50928:27.109:['transport', 'channel', 'import', 'export']:[]	modB:3.45135e-136:['permease']:[]
NP_415291.1 putative tricarboxylate transporter	100%	9:Yes	Yes		Na_sulph_symp:0.0:['symporter']:[]
NP_415331.1 L-glutamine ABC transporter membrane subunit	100%	5:Yes	Yes	PS50928:22.385:['transport', 'channel', 'import', 'export']:[]	glnP:1.62671e-140:['permease']:[]
NP_415339.1 putative transporter YbiR	100%	8:Yes	Yes		YbiR_permease:2.09835e-99:['permease']:[]
NP_415352.1 glutathione ABC transporter membrane subunit GsiC	100%	5:Yes	Yes	PS50928:20.425:['transport', 'channel', 'import', 'export']:[]	PRK15081:0.0:['permease']:[]
NP_415353.1 glutathione ABC transporter membrane subunit GsiD	100%	6:Yes	Yes	PS50928:25.063:['transport', 'channel', 'import', 'export']:[]	PRK15082:0.0:['permease']:[]
NP_415366.1 inner membrane protein YbjJ	100%	12:Yes	Yes	PS50850:18.928:['transport', 'channel', 'facilitator', 'symporter']:['transfer']	MFS_MosC_like:5.61775e-116:['permease', 'facilitator']:[]
